reltrad,"Less than $10,000","10 to under $20,000","20 to under $30,000","30 to under $40,000","40 to under $50,000","50 to under $75,000","75 to under $100,000","100 to under $150,000","$150,000 or more",Don't know/Refused (VOL.)
 Evangelical Protestant Churches ,575,869,1064,982,881,1486,949,723,414,1529
 Mainline Protestant Churches ,289,495,619,655,651,1107,939,753,634,1328
 Historically Black Protestant Churches ,228,244,236,238,197,223,131,81,78,339
 Catholic ,418,617,732,670,638,1116,949,792,633,1489
 Mormon ,29,40,48,51,56,112,85,49,42,69
 Orthodox ,13,17,23,32,32,47,38,42,46,73
 Jehovah's Witness ,20,27,24,24,21,30,15,11,6,37
 Other Christian ,9,7,11,13,13,14,18,14,12,18
 Jewish ,19,19,25,25,30,95,69,87,151,162
 Muslim ,6,7,9,10,9,23,16,8,6,22
 Buddhist ,27,21,30,34,33,58,62,39,53,54
 Hindu ,1,9,7,9,11,34,47,48,54,37
 Other World Religions ,5,2,3,4,2,7,3,4,4,8
 Other Faiths ,20,33,40,46,49,63,46,40,41,71
 Unaffiliated ,256,360,471,498,452,735,602,489,416,769
 Don’t know/refused (no information on religious affiliation) ,15,14,15,11,10,35,21,17,18,116
