state,f1524,f2534,f3544,f4554,f5564,f6565+,m1524,m2534,m3544,m4554,m5564,m6565+
Alabama,13,38,51,72,82,91,41,40,47,64,58,67
Arizona,22,39,49,50,52,78,20,39,57,43,54,65
Arkansas,12,24,31,43,47,58,12,20,21,28,28,44
California,110,259,337,379,294,385,181,240,324,345,303,318
Colorado,21,44,53,56,55,66,23,25,52,61,58,56
Connecticut,11,23,42,41,34,56,15,17,25,37,33,28
Delaware,6,11,7,12,11,16,1,3,5,12,8,16
District of Columbia,2,3,5,8,10,9,2,10,9,9,6,4
Florida,35,83,128,200,173,286,57,78,103,164,142,197
Georgia,34,56,99,106,102,110,32,67,92,91,80,86
Idaho,6,18,15,24,17,25,12,8,15,20,15,18
Illinois,43,88,133,154,114,172,66,69,102,143,102,114
Indiana,33,44,79,97,78,147,38,66,79,84,71,84
Iowa,13,35,38,48,58,88,13,23,41,46,39,35
Kansas,8,30,28,48,55,57,11,29,31,42,30,42
Kentucky,13,34,46,69,68,80,27,37,43,59,51,58
Louisiana,20,22,35,58,85,65,13,29,42,67,40,40
Maine,5,13,15,28,25,37,2,14,14,24,25,30
Maryland,16,45,58,88,70,81,28,29,59,71,51,64
Massachusetts,16,28,70,81,73,109,20,43,60,89,70,69
Michigan,37,58,116,148,131,175,46,56,100,134,118,129
Minnesota,14,34,75,88,74,123,20,51,63,85,66,75
Mississippi,11,19,32,40,36,43,24,16,25,30,24,23
Missouri,24,56,69,102,99,122,33,53,59,77,69,91
Montana,5,14,8,15,24,25,8,13,14,19,22,21
Nebraska,9,15,25,20,24,44,9,11,14,22,22,24
Nevada,15,13,20,20,20,35,12,14,16,31,22,28
New Hampshire,5,8,20,19,23,15,6,7,13,17,21,26
New Jersey,21,52,86,116,94,104,36,41,81,88,93,95
New Mexico,7,16,12,25,23,23,10,12,21,29,21,21
New York,67,120,168,227,217,258,78,93,141,201,147,165
North Carolina,43,73,104,138,129,154,27,60,101,105,98,103
North Dakota,3,6,5,19,11,19,5,12,3,9,11,7
Ohio,46,106,139,216,155,262,58,79,118,158,134,151
Oklahoma,8,34,38,49,39,66,10,32,29,58,38,51
Oregon,19,38,54,52,65,68,13,23,43,48,43,50
Pennsylvania,52,95,156,231,195,289,70,92,144,200,153,172
Rhode Island,4,5,10,16,10,13,6,5,9,15,9,9
South Carolina,13,38,45,62,56,87,25,23,44,55,48,59
South Dakota,3,9,12,16,13,20,4,5,11,10,5,14
Tennessee,15,34,69,110,87,117,27,51,75,72,82,82
Texas,69,163,218,265,226,284,99,143,176,207,176,188
Utah,11,25,37,43,23,39,14,31,17,26,27,23
Vermont,3,9,10,16,17,16,5,6,11,13,12,11
Virginia,34,69,84,104,89,112,44,65,84,110,82,98
Washington,24,26,70,88,84,105,33,36,67,67,61,71
West Virginia,9,12,21,29,40,40,13,15,22,32,25,27
Wisconsin,29,44,71,82,91,104,29,46,65,89,71,86
Wyoming,5,3,7,12,4,12,6,3,5,11,5,8
